id,brand_id,name,released_at,body,os,storage,display_size,display_resolution,camera_pixels,video_pixels,ram,chipset,battery_size,battery_type,created_at,updated_at
9600,4,Samsung Galaxy Tab A 8.0 (2018),"Released 2018, September","358g, 8.9mm thickness",Android 8.1,"32GB storage, microSDXC","8.0""",800x1280 pixels,5 MP         ,1080p,2 GB RAM ,Snapdragon 425,5000 mAh ,Li-Ion,10/9/2021 00:25:14,10/9/2021 00:25:14
9607,4,Samsung Galaxy View2,"Released 2019, April","2.23 kg, 17.3mm thickness",Android 8.1,"64GB storage, microSDXC","17.3""",1080x1920 pixels,NO         ,2160p,3 GB RAM ,Exynos 7884,12000 mAh ,Li-Po,10/9/2021 00:25:35,10/9/2021 00:25:35
9656,4,Samsung Galaxy M40,"Released 2019, June","168g, 7.9mm thickness","Android 9.0, up to Android 11, One UI 3.1","64GB/128GB storage, microSDXC","6.3""",1080x2340 pixels,32 MP         ,2160p,4/6 GB RAM ,Snapdragon 675,3500 mAh ,Li-Po,10/9/2021 00:27:43,10/9/2021 00:27:43
9665,4,Samsung Galaxy Xcover 4s,"Released 2019, July","172g, 9.7mm thickness","Android 9.0, up to Android 10, One UI 2.0","32GB storage, microSDXC","5.0""",720x1280 pixels,16 MP         ,1080p,3 GB RAM ,Exynos 7885,2800 mAh ,Li-Ion,10/9/2021 00:28:04,10/9/2021 00:28:04
9667,4,Samsung Galaxy Note10+,"Released 2019, August 23","196g, 7.9mm thickness","Android 9.0, up to Android 11, One UI 3.1","256GB/512GB storage, microSDXC","6.8""",1440x3040 pixels,12 MP         ,2160p,12 GB RAM ,Exynos 9825,4300 mAh ,Li-Ion,10/9/2021 00:28:09,10/9/2021 00:28:09
9695,4,Samsung Galaxy Tab A 8.0 (2019),"Released 2019, July","345g (Wi-Fi), 347g (LTE), 8mm thickness","Android 9.0, up to Android 11","32GB/64GB storage, microSDXC","8.0""",800x1280 pixels,8 MP         ,1080p,2/3 GB RAM ,Snapdragon 429,5100 mAh ,Li-Po,10/9/2021 00:29:23,10/9/2021 00:29:23
9716,4,Samsung Galaxy Tab S6,"Released 2019, August","420g, 5.7mm thickness","Android 9.0, up to Android 11, One UI 3.1","128GB/256GB storage, microSDXC","10.5""",1600x2560 pixels,13 MP         ,2160p,4-8 GB RAM ,Snapdragon 855,7040 mAh ,Li-Po,10/9/2021 00:30:18,10/9/2021 00:30:18
9719,4,Samsung Galaxy Watch Active2,"Released 2019, September","42g, 10.9mm thickness",Tizen OS 4.0,"4GB 768MB RAM storage, no card slot","1.4""",360x360 pixels,NO         ,,1.5 GB RAM ,Exynos 9110,340 mAh ,Li-Ion,10/9/2021 00:30:25,10/9/2021 00:30:25
9721,4,Samsung Galaxy Watch Active2 Aluminum,"Released 2019, September","30g, 10.9mm thickness",Tizen OS 4.0,"4GB 768MB RAM storage, no card slot","1.4""",360x360 pixels,NO         ,,1.5 GB RAM ,Exynos 9110,340 mAh ,Li-Ion,10/9/2021 00:30:29,10/9/2021 00:30:29
9722,4,Samsung Galaxy Note10+ 5G,"Released 2019, August","198g, 7.9mm thickness","Android 9.0, up to Android 11, One UI 3.0","256GB/512GB storage, microSDXC","6.8""",1440x3040 pixels,12 MP         ,2160p,12 GB RAM ,Exynos 9825,4300 mAh ,Li-Ion,10/9/2021 00:30:32,10/9/2021 00:30:32
9723,4,Samsung Galaxy Note10,"Released 2019, August 23","168g, 7.9mm thickness","Android 9.0, up to Android 11, One UI 3.1","256GB storage, no card slot","6.3""",1080x2280 pixels,12 MP         ,2160p,8 GB RAM ,Exynos 9825,3500 mAh ,Li-Ion,10/9/2021 00:30:36,10/9/2021 00:30:36
9724,4,Samsung Galaxy Note10 5G,"Released 2019, August","168g, 7.9mm thickness","Android 9.0, up to Android 11, One UI 3.0","256GB storage, no card slot","6.3""",1080x2280 pixels,12 MP         ,2160p,12 GB RAM ,Exynos 9825,3500 mAh ,Li-Ion,10/9/2021 00:30:39,10/9/2021 00:30:39
9725,4,Samsung Galaxy A10e,"Released 2019, August","141g, 8.4mm thickness","Android 9.0, up to Android 11, One UI 3.1","32GB storage, microSDXC","5.83""",720x1560 pixels,8 MP         ,1080p,2/3 GB RAM ,Exynos 7884,3000 mAh ,Li-Ion,10/9/2021 00:30:41,10/9/2021 00:30:41
9728,4,Samsung Galaxy A10s,"Released 2019, August 27","168g, 7.8mm thickness","Android 9.0, up to Android 11, One UI 3.1","32GB storage, microSDXC","6.2""",720x1520 pixels,13 MP         ,1080p,2/3 GB RAM ,Helio P22,4000 mAh ,Li-Po,10/9/2021 00:30:48,10/9/2021 00:30:48
