Code,Name,Product Information,Price,Saving Price,Review Count
1818765,"Samsung Galaxy S23 Green 6.1"" 128GB 5G Unlocked & SIM Free Smartphone","Android 13 Operating System
Screen: 6.1 Inches
Storage: 128GB
Triple 12, 50 and 10 Megapixel Rear camera",£699.00,£150,0
1866898,"CAT S22 Flip Black 2.8"" 16GB 4G Unlocked & SIM Free Smartphone","Android 11 Operating System
Screen: 2.8 Inches
Storage: 16GB
5 Megapixel Rear camera",£89.00,0,0
1784646,"Google Pixel 7 Obsidian Black 6.3"" 128GB 5G Unlocked & SIM Free Smartphone","Android 13 Operating System
Screen: 6.3 Inches
Storage: 128GB
Dual 50 and 12 Megapixel Rear camera",£499.00,£100,3
1744505,"Samsung Galaxy Xcover 6 Pro 6.6"" 128GB 5G Unlocked & SIM Free Smartphone","Android 12 Operating System
Screen: 6.6 Inches
Storage: 128GB
Dual 50 and 8 Megapixel Rear camera",£568.97,0,0
1715231,"Realme C31 Light Silver 6.5"" 64GB 4GB 4G Unlocked & SIM Free Smartphone ","Android 11 Operating System
Screen: 6.5 Inches
Storage: 64GB
Triple 13, 2 and 0.3 Megapixel Rear camera",£94.00,£35,1
1713809,"Samsung Galaxy A53 5G Awesome Blue 6.5"" 128GB 5G Unlocked & SIM Free Smartphone","Android 12 Operating System
Screen: 6.5 Inches
Storage: 128GB
Quadruple 64, 12, 5 and 5 Megapixel Rear camera",£329.00,£70,0
1811651,"OPPO Find X5 Pro Ceramic White 6.7"" 256GB 5G Unlocked & SIM Free Smartphone","Android 12 Operating System
Screen: 6.7 Inches
Storage: 256GB
Triple 50, 50 and 13 Megapixel Rear camera",£599.00,£400,13
1818766,"Samsung Galaxy S23 Lavender 6.1"" 128GB 5G Unlocked & SIM Free Smartphone","Android 13 Operating System
Screen: 6.1 Inches
Storage: 128GB
Triple 12, 50 and 10 Megapixel Rear camera",£699.00,£150,0
1781573,"Samsung Galaxy A23 5G Awesome Blue 6.6"" 64GB 5G Unlocked & SIM Free Smartphone","Android 12 Operating System
Screen: 6.6 Inches
Storage: 64GB
Quadruple 50, 5, 2 and 2 Megapixel Rear camera",£229.00,£70,5
1778370,"Apple iPhone 14 Pro Max Space Black 6.7"" 256GB 5G Unlocked & SIM Free Smartphone","iOS 16 Operating System
Screen: 6.1 Inches
Storage: 256GB
Triple 48, 12 and 12 Megapixel Rear camera",£1298.97,£110,0
